nome_associado,sobrenome_associado,idade_associado,vlr_transacao_movimento,des_transacao_movimento,data_movimento,numero_cartao,nome_impresso_cartao,data_criacao_cartao,tipo_conta,data_criacao_conta
CLIENTE195,SOBRENOME195,39,163.0,DESC 5,2025-01-22 00:00:00,75466467410,CLIENTE42,2024-07-18 00:49:26,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,138.0,DESC 5,2025-02-09 00:00:00,75466467410,CLIENTE42,2024-07-18 00:49:26,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,109.0,DESC 5,2025-02-25 00:00:00,75466467410,CLIENTE42,2024-07-18 00:49:26,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,51.0,DESC 5,2025-02-19 00:00:00,75466467410,CLIENTE42,2024-07-18 00:49:26,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,7.0,DESC 5,2025-01-25 00:00:00,75466467410,CLIENTE42,2024-07-18 00:49:26,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,54.0,DESC 5,2025-01-24 00:00:00,56932353049,CLIENTE148,2024-03-13 10:12:29,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,91.0,DESC 5,2025-01-03 00:00:00,56932353049,CLIENTE148,2024-03-13 10:12:29,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,188.0,DESC 5,2025-01-30 00:00:00,56932353049,CLIENTE148,2024-03-13 10:12:29,CORRENTE,2024-01-10 00:00:00
CLIENTE195,SOBRENOME195,39,156.0,DESC 4,2025-01-11 00:00:00,56932353049,CLIENTE148,2024-03-13 10:12:29,CORRENTE,2024-01-10 00:00:00
CLIENTE113,SOBRENOME113,27,75.0,DESC 5,2025-01-15 00:00:00,68211517433,CLIENTE76,2024-04-01 14:28:31,EMPRESARIAL,2024-02-20 00:00:00
CLIENTE113,SOBRENOME113,27,128.0,DESC 5,2025-01-05 00:00:00,68211517433,CLIENTE76,2024-04-01 14:28:31,EMPRESARIAL,2024-02-20 00:00:00
CLIENTE93,SOBRENOME93,60,27.0,DESC 5,2025-02-05 00:00:00,83896898470,CLIENTE129,2024-07-23 08:43:07,CORRENTE,2024-11-16 00:00:00
CLIENTE93,SOBRENOME93,60,86.0,DESC 5,2025-02-21 00:00:00,83896898470,CLIENTE129,2024-07-23 08:43:07,CORRENTE,2024-11-16 00:00:00
CLIENTE93,SOBRENOME93,60,78.0,DESC 5,2025-01-06 00:00:00,83896898470,CLIENTE129,2024-07-23 08:43:07,CORRENTE,2024-11-16 00:00:00
CLIENTE93,SOBRENOME93,60,25.0,DESC 5,2025-01-09 00:00:00,83896898470,CLIENTE129,2024-07-23 08:43:07,CORRENTE,2024-11-16 00:00:00
CLIENTE93,SOBRENOME93,60,106.0,DESC 5,2025-01-30 00:00:00,83896898470,CLIENTE129,2024-07-23 08:43:07,CORRENTE,2024-11-16 00:00:00
CLIENTE31,SOBRENOME31,37,165.0,DESC 5,2025-02-19 00:00:00,64572528794,CLIENTE94,2024-07-27 14:21:36,EMPRESARIAL,2023-11-30 00:00:00
CLIENTE31,SOBRENOME31,37,120.0,DESC 5,2025-01-29 00:00:00,64572528794,CLIENTE94,2024-07-27 14:21:36,EMPRESARIAL,2023-11-30 00:00:00
CLIENTE116,SOBRENOME116,38,104.0,DESC 5,2025-01-19 00:00:00,63970985361,CLIENTE149,2024-02-09 05:09:29,EMPRESARIAL,2024-05-03 00:00:00
CLIENTE116,SOBRENOME116,38,110.0,DESC 5,2025-02-17 00:00:00,63970985361,CLIENTE149,2024-02-09 05:09:29,EMPRESARIAL,2024-05-03 00:00:00
CLIENTE116,SOBRENOME116,38,196.0,DESC 5,2025-01-18 00:00:00,63970985361,CLIENTE149,2024-02-09 05:09:29,EMPRESARIAL,2024-05-03 00:00:00
CLIENTE116,SOBRENOME116,38,45.0,DESC 3,2025-01-21 00:00:00,63970985361,CLIENTE149,2024-02-09 05:09:29,EMPRESARIAL,2024-05-03 00:00:00
CLIENTE190,SOBRENOME190,43,100.0,DESC 5,2025-01-19 00:00:00,81636295187,CLIENTE129,2024-01-29 18:12:55,POUPANCA,2024-06-01 00:00:00
CLIENTE190,SOBRENOME190,43,177.0,DESC 5,2025-01-06 00:00:00,81636295187,CLIENTE129,2024-01-29 18:12:55,POUPANCA,2024-06-01 00:00:00
CLIENTE190,SOBRENOME190,43,14.0,DESC 5,2025-02-07 00:00:00,81636295187,CLIENTE129,2024-01-29 18:12:55,POUPANCA,2024-06-01 00:00:00
